gutenberg_id	text
150	**********************************************************************
150	THIS EBOOK WAS ONE OF PROJECT GUTENBERG'S EARLY FILES PRODUCED AT A
150	TIME WHEN PROOFING METHODS AND TOOLS WERE NOT WELL DEVELOPED. THERE IS
150	AN IMPROVED EDITION OF THIS TITLE WHICH MAY BE VIEWED AT EBOOK (#55201)
150	**********************************************************************
150	
150	
150	
150	
150	
150	
150	
150	
150	
150	
150	THE REPUBLIC
150	
150	by Plato
150	
150	(360 B.C.)
150	
150	
150	translated by Benjamin Jowett
150	
150	
150	
150	
150	THE INTRODUCTION
150	
150	THE Republic of Plato is the longest of his works with the exception of
150	the Laws, and is certainly the greatest of them.  There are nearer
150	approaches to modern metaphysics in the Philebus and in the Sophist;
150	the Politicus or Statesman is more ideal; the form and institutions of
150	the State are more clearly drawn out in the Laws; as works of art, the
150	Symposium and the Protagoras are of higher excellence.  But no other
150	Dialogue of Plato has the same largeness of view and the same
150	perfection of style; no other shows an equal knowledge of the world, or
150	contains more of those thoughts which are new as well as old, and not
150	of one age only but of all.  Nowhere in Plato is there a deeper irony
150	or a greater wealth of humor or imagery, or more dramatic power.  Nor
150	in any other of his writings is the attempt made to interweave life and
150	speculation, or to connect politics with philosophy.  The Republic is
150	the centre around which the other Dialogues may be grouped; here
150	philosophy reaches the highest point to which ancient thinkers ever
150	attained.  Plato among the Greeks, like Bacon among the moderns, was
150	the first who conceived a method of knowledge, although neither of them
150	always distinguished the bare outline or form from the substance of
150	truth; and both of them had to be content with an abstraction of
150	science which was not yet realized.  He was the greatest metaphysical
150	genius whom the world has seen; and in him, more than in any other
150	ancient thinker, the germs of future knowledge are contained.  The
150	sciences of logic and psychology, which have supplied so many
150	instruments of thought to after-ages, are based upon the analyses of
150	Socrates and Plato.  The principles of definition, the law of
150	contradiction, the fallacy of arguing in a circle, the distinction
150	between the essence and accidents of a thing or notion, between means
150	and ends, between causes and conditions; also the division of the mind
150	into the rational, concupiscent, and irascible elements, or of
150	pleasures and desires into necessary and unnecessary--these and other
150	great forms of thought are all of them to be found in the Republic, and
150	were probably first invented by Plato.  The greatest of all logical
150	truths, and the one of which writers on philosophy are most apt to lose
150	sight, the difference between words and things, has been most
150	strenuously insisted on by him, although he has not always avoided the
150	confusion of them in his own writings.  But he does not bind up truth
150	in logical formulae,--logic is still veiled in metaphysics; and the
150	"science which he imagines to ""contemplate all truth and all existence"""
150	is very unlike the doctrine of the syllogism which Aristotle claims to
150	have discovered.
150	
150	Neither must we forget that the Republic is but the third part of a
150	still larger design which was to have included an ideal history of
150	Athens, as well as a political and physical philosophy.  The fragment
150	of the Critias has given birth to a world-famous fiction, second only
150	in importance to the tale of Troy and the legend of Arthur; and is said
150	as a fact to have inspired some of the early navigators of the
150	sixteenth century.  This mythical tale, of which the subject was a
150	history of the wars of the Athenians against the Island of Atlantis, is
150	supposed to be founded upon an unfinished poem of Solon, to which it
150	would have stood in the same relation as the writings of the
150	logographers to the poems of Homer.  It would have told of a struggle
150	for Liberty, intended to represent the conflict of Persia and Hellas.
150	We may judge from the noble commencement of the Timaeus, from the
150	fragment of the Critias itself, and from the third book of the Laws, in
150	what manner Plato would have treated this high argument.  We can only
150	guess why the great design was abandoned; perhaps because Plato became
150	sensible of some incongruity in a fictitious history, or because he had
150	lost his interest in it, or because advancing years forbade the
150	completion of it; and we may please ourselves with the fancy that had
150	this imaginary narrative ever been finished, we should have found Plato
150	himself sympathizing with the struggle for Hellenic independence,
150	singing a hymn of triumph over Marathon and Salamis, perhaps making the
150	reflection of Herodotus where he contemplates the growth of the
150	"Athenian empire--""How brave a thing is freedom of speech, which has"
150	made the Athenians so far exceed every other state of Hellas in
150	"greatness!"" or, more probably, attributing the victory to the ancient"
150	good order of Athens and to the favor of Apollo and Athene.
150	
150	"Again, Plato may be regarded as the ""captain"" ('arhchegoz') or leader"
150	of a goodly band of followers; for in the Republic is to be found the
150	original of Cicero's De Republica, of St. Augustine's City of God, of
150	the Utopia of Sir Thomas More, and of the numerous other imaginary
150	States which are framed upon the same model.  The extent to which
150	Aristotle or the Aristotelian school were indebted to him in the
150	Politics has been little recognized, and the recognition is the more
150	necessary because it is not made by Aristotle himself.  The two
150	philosophers had more in common than they were conscious of; and
150	probably some elements of Plato remain still undetected in Aristotle.
150	In English philosophy too, many affinities may be traced, not only in
150	the works of the Cambridge Platonists, but in great original writers
150	like Berkeley or Coleridge, to Plato and his ideas.  That there is a
150	truth higher than experience, of which the mind bears witness to
150	herself, is a conviction which in our own generation has been
150	enthusiastically asserted, and is perhaps gaining ground.  Of the Greek
150	authors who at the Renaissance brought a new life into the world Plato
150	has had the greatest influence.  The Republic of Plato is also the
150	first treatise upon education, of which the writings of Milton and
150	Locke, Rousseau, Jean Paul, and Goethe are the legitimate descendants.
150	Like Dante or Bunyan, he has a revelation of another life; like Bacon,
150	he is profoundly impressed with the unity of knowledge; in the early
150	Church he exercised a real influence on theology, and at the Revival of
150	"Literature on politics.  Even the fragments of his words when ""repeated"
150	"at second-hand"" have in all ages ravished the hearts of men, who have"
150	seen reflected in them their own higher nature.  He is the father of
150	idealism in philosophy, in politics, in literature.  And many of the
150	latest conceptions of modern thinkers and statesmen, such as the unity
150	of knowledge, the reign of law, and the equality of the sexes, have
150	been anticipated in a dream by him.
150	
150	
150	
150	ARGUMENT
150	
150	The argument of the Republic is the search after Justice, the nature of
150	which is first hinted at by Cephalus, the just and blameless old
150	man--then discussed on the basis of proverbial morality by Socrates and
150	Polemarchus--then caricatured by Thrasymachus and partially explained
150	by Socrates--reduced to an abstraction by Glaucon and Adeimantus, and
150	having become invisible in the individual reappears at length in the
150	ideal State which is constructed by Socrates.  The first care of the
150	rulers is to be education, of which an outline is drawn after the old
150	Hellenic model, providing only for an improved religion and morality,
150	and more simplicity in music and gymnastic, a manlier strain of poetry,
150	and greater harmony of the individual and the State.  We are thus led
150	"on to the conception of a higher State, in which ""no man calls anything"
150	"his own,"" and in which there is neither ""marrying nor giving in"
150	"marriage,"" and ""kings are philosophers"" and ""philosophers are kings;"""
150	and there is another and higher education, intellectual as well as
150	moral and religious, of science as well as of art, and not of youth
150	only but of the whole of life.  Such a State is hardly to be realized
150	in this world and would quickly degenerate.  To the perfect ideal
150	succeeds the government of the soldier and the lover of honor, this
150	again declining into democracy, and democracy into tyranny, in an
150	imaginary but regular order having not much resemblance to the actual
150	"facts.  When ""the wheel has come full circle"" we do not begin again"
150	with a new period of human life; but we have passed from the best to
150	the worst, and there we end.  The subject is then changed and the old
150	quarrel of poetry and philosophy which had been more lightly treated in
150	the earlier books of the Republic is now resumed and fought out to a
150	conclusion.  Poetry is discovered to be an imitation thrice removed
150	from the truth, and Homer, as well as the dramatic poets, having been
150	condemned as an imitator, is sent into banishment along with them.  And
150	the idea of the State is supplemented by the revelation of a future
150	life.
150	
150	The division into books, like all similar divisions, is probably later
150	than the age of Plato.  The natural divisions are five in number;--(1)
150	Book I and the first half of Book II down to the paragraph beginning,
150	"""I had always admired the genius of Glaucon and Adeimantus,"" which is"
150	introductory; the first book containing a refutation of the popular and
150	sophistical notions of justice, and concluding, like some of the
150	earlier Dialogues, without arriving at any definite result.  To this is
150	appended a restatement of the nature of justice according to common
150	opinion, and an answer is demanded to the question--What is justice,
150	stripped of appearances?  The second division (2) includes the
150	remainder of the second and the whole of the third and fourth books,
150	which are mainly occupied with the construction of the first State and
150	the first education.  The third division (3) consists of the fifth,
150	sixth, and seventh books, in which philosophy rather than justice is
150	the subject of inquiry, and the second State is constructed on
150	principles of communism and ruled by philosophers, and the
150	contemplation of the idea of good takes the place of the social and
150	political virtues.  In the eighth and ninth books (4) the perversions
150	of States and of the individuals who correspond to them are reviewed in
150	succession; and the nature of pleasure and the principle of tyranny are
150	further analyzed in the individual man.  The tenth book (5) is the
150	conclusion of the whole, in which the relations of philosophy to poetry
150	are finally determined, and the happiness of the citizens in this life,
150	which has now been assured, is crowned by the vision of another.
150	
150	Or a more general division into two parts may be adopted; the first
150	(Books I-IV) containing the description of a State framed generally in
150	accordance with Hellenic notions of religion and morality, while in the
150	second (Books V-X) the Hellenic State is transformed into an ideal
150	kingdom of philosophy, of which all other governments are the
150	perversions.  These two points of view are really opposed, and the
150	opposition is only veiled by the genius of Plato.  The Republic, like
150	the Phaedrus, is an imperfect whole; the higher light of philosophy
150	breaks through the regularity of the Hellenic temple, which at last
150	fades away into the heavens.  Whether this imperfection of structure
150	arises from an enlargement of the plan; or from the imperfect
150	reconcilement in the writer's own mind of the struggling elements of
150	thought which are now first brought together by him; or, perhaps, from
150	the composition of the work at different times--are questions, like the
150	similar question about the Iliad and the Odyssey, which are worth
150	asking, but which cannot have a distinct answer.  In the age of Plato
150	there was no regular mode of publication, and an author would have the
150	less scruple in altering or adding to a work which was known only to a
150	few of his friends.  There is no absurdity in supposing that he may
150	have laid his labors aside for a time, or turned from one work to
150	another; and such interruptions would be more likely to occur in the
150	case of a long than of a short writing.  In all attempts to determine
150	the chronological he order of the Platonic writings on internal
150	evidence, this uncertainty about any single Dialogue being composed at
150	one time is a disturbing element, which must be admitted to affect
150	longer works, such as the Republic and the Laws, more than shorter
150	ones.  But, on the other hand, the seeming discrepancies of the
150	Republic may only arise out of the discordant elements which the
150	philosopher has attempted to unite in a single whole, perhaps without
150	being himself able to recognize the inconsistency which is obvious to
150	us.  For there is a judgment of after ages which few great writers have
150	ever been able to anticipate for themselves.  They do not perceive the
150	want of connection in their own writings, or the gaps in their systems
150	which are visible enough to those who come after them.  In the
150	beginnings of literature and philosophy, amid the first efforts of
150	thought and language, more inconsistencies occur than now, when the
150	paths of speculation are well worn and the meaning of words precisely
150	defined.  For consistency, too, is the growth of time; and some of the
150	greatest creations of the human mind have been wanting in unity.  Tried
150	by this test, several of the Platonic Dialogues, according to our
150	modern ideas, appear to be defective, but the deficiency is no proof
150	that they were composed at different times or by different hands.  And
150	the supposition that the Republic was written uninterruptedly and by a
150	continuous effort is in some degree confirmed by the numerous
150	references from one part of the work to another.
150	
150	"The second title, ""Concerning Justice,"" is not the one by which the"
150	Republic is quoted, either by Aristotle or generally in antiquity, and,
150	like the other second titles of the Platonic Dialogues, may therefore
150	be assumed to be of later date.  Morgenstern and others have asked
150	whether the definition of justice, which is the professed aim, or the
150	construction of the State is the principal argument of the work.  The
150	answer is, that the two blend in one, and are two faces of the same
150	truth; for justice is the order of the State, and the State is the
150	visible embodiment of justice under the conditions of human society.
150	The one is the soul and the other is the body, and the Greek ideal of
150	the State, as of the individual, is a fair mind in a fair body.  In
150	Hegelian phraseology the State is the reality of which justice is the
150	ideal.  Or, described in Christian language, the kingdom of God is
150	"within, and yet develops into a Church or external kingdom; ""the house"
150	"not made with hands, eternal in the heavens,"" is reduced to the"
150	proportions of an earthly building.  Or, to use a Platonic image,
150	justice and the State are the warp and the woof which run through the
150	whole texture.  And when the constitution of the State is completed,
150	the conception of justice is not dismissed, but reappears under the
150	same or different names throughout the work, both as the inner law of
150	the individual soul, and finally as the principle of rewards and
150	punishments in another life.  The virtues are based on justice, of
150	which common honesty in buying and selling is the shadow, and justice
150	is based on the idea of good, which is the harmony of the world, and is
150	reflected both in the institutions of States and in motions of the
150	heavenly bodies.  The Timaeus, which takes up the political rather than
150	the ethical side of the Republic, and is chiefly occupied with
150	hypotheses concerning the outward world, yet contains many indications
150	that the same law is supposed to reign over the State, over nature, and
150	over man.
150	
150	Too much, however, has been made of this question both in ancient and
150	in modern times.  There is a stage of criticism in which all works,
150	whether of nature or of art, are referred to design.  Now in ancient
150	writings, and indeed in literature generally, there remains often a
150	large element which was not comprehended in the original design.  For
150	the plan grows under the author's hand; new thoughts occur to him in
150	the act of writing; he has not worked out the argument to the end
150	before he begins.  The reader who seeks to find some one idea under
150	which the whole may be conceived, must necessarily seize on the vaguest
150	and most general.  Thus Stallbaum, who is dissatisfied with the
150	ordinary explanations of the argument of the Republic, imagines himself
150	"to have found the true argument ""in the representation of human life in"
150	a State perfected by justice and governed according to the idea of
150	"good."" There may be some use in such general descriptions, but they can"
150	hardly be said to express the design of the writer.  The truth is, that
150	we may as well speak of many designs as of one; nor need anything be
150	excluded from the plan of a great work to which the mind is naturally
150	led by the association of ideas, and which does not interfere with the
150	general purpose.  What kind or degree of unity is to be sought after in
150	a building, in the plastic arts, in poetry, in prose, is a problem
150	which has to be determined relatively to the subject-matter. To Plato
150	"himself, the inquiry ""what was the intention of the writer,"" or ""what"
150	"was the principal argument of the Republic"" would have been hardly"
150	intelligible, and therefore had better be at once dismissed.
150	
150	Is not the Republic the vehicle of three or four great truths which, to
150	Plato's own mind, are most naturally represented in the form of the
150	"State?  Just as in the Jewish prophets the reign of Messiah, or ""the"
150	"day of the Lord,"" or the suffering Servant or people of God, or the"
150	"""Sun of righteousness with healing in his wings"" only convey, to us at"
150	least, their great spiritual ideals, so through the Greek State Plato
150	reveals to us his own thoughts about divine perfection, which is the
150	idea of good--like the sun in the visible world;--about human
150	perfection, which is justice--about education beginning in youth and
150	continuing in later years--about poets and sophists and tyrants who are
150	"the false teachers and evil rulers of mankind--about ""the world"" which"
150	is the embodiment of them--about a kingdom which exists nowhere upon
150	earth but is laid up in heaven to be the pattern and rule of human
150	life.  No such inspired creation is at unity with itself, any more than
150	the clouds of heaven when the sun pierces through them.  Every shade of
150	light and dark, of truth, and of fiction which is the veil of truth, is
150	allowable in a work of philosophical imagination.  It is not all on the
150	same plane; it easily passes from ideas to myths and fancies, from
150	facts to figures of speech.  It is not prose but poetry, at least a
150	great part of it, and ought not to be judged by the rules of logic or
150	the probabilities of history.  The writer is not fashioning his ideas
150	into an artistic whole; they take possession of him and are too much
150	for him.  We have no need therefore to discuss whether a State such as
150	Plato has conceived is practicable or not, or whether the outward form
150	or the inward life came first into the mind of the writer.  For the
150	practicability of his ideas has nothing to do with their truth; and the
150	highest thoughts to which he attains may be truly said to bear the
